Date,T,T2,T3
11/06/2010,0.001432958,0.04225371,-7.13167E-05
14/06/2010,0.006338369,0.001432958,0.018208359
15/06/2010,0.031694429,0.006338369,0.013357234
16/06/2010,-0.004726222,0.031694429,0.016675012
17/06/2010,0.003165846,-0.004726222,0.013155252
18/06/2010,-0.00177526,0.003165846,0.011102192
21/06/2010,-0.000197579,-0.00177526,0.010044685
22/06/2010,-0.01264837,-0.000197579,-0.001111878
23/06/2010,0.006700251,-0.01264837,0.000397669
24/06/2010,-0.017398181,0.006700251,-0.004873736
25/06/2010,0.005765018,-0.017398181,-0.002048566
28/06/2010,-0.007369512,0.005765018,-0.0077821
29/06/2010,-0.03423381,-0.007369512,-0.001644304
30/06/2010,-0.006833252,-0.03423381,-0.006334225
01/07/2010,0.014620552,-0.006833252,-0.011946101
02/07/2010,-0.002119121,0.014620552,-0.016145525
06/07/2010,0.019961911,-0.002119121,-0.008815503
07/07/2010,0.031230248,0.019961911,0.001889393
08/07/2010,0.009691081,0.031230248,0.010821114
09/07/2010,0.001000073,0.009691081,0.016357679
12/07/2010,-0.003795734,0.001000073,0.020294413
13/07/2010,0.018448256,-0.003795734,0.0139738
14/07/2010,0.003543909,0.018448256,0.002298473
15/07/2010,0.004904657,0.003543909,0.005217532
16/07/2010,-0.032018447,0.004904657,0.006065477
19/07/2010,0.006454029,-0.032018447,0.008965607
20/07/2010,0.006813594,0.006454029,-0.007856627
21/07/2010,-0.018113063,0.006813594,-0.006886587
22/07/2010,0.03365108,-0.018113063,-0.006250275
23/07/2010,0.011766865,0.03365108,-0.001615147
26/07/2010,0.00697811,0.011766865,0.007450537
27/07/2010,0.002887381,0.00697811,0.009101627
28/07/2010,-0.005182202,0.002887381,0.017465352
29/07/2010,0.004630464,-0.005182202,0.007210785
30/07/2010,-0.003072748,0.004630464,0.001561096
02/08/2010,0.033712094,-0.003072748,0.000778548
03/08/2010,-0.001491043,0.033712094,-0.001208162
04/08/2010,0.000933342,-0.001491043,0.011756603
05/08/2010,-0.000745745,0.000933342,0.009716101
06/08/2010,0.002985691,-0.000745745,0.011051464
09/08/2010,0.00111612,0.002985691,-0.000434482
10/08/2010,-0.0079911,0.00111612,0.001057762
11/08/2010,-0.045522707,-0.0079911,0.001118689
12/08/2010,-0.001177661,-0.045522707,-0.00129643
13/08/2010,-0.003536946,-0.001177661,-0.017465896
16/08/2010,0.008085166,-0.003536946,-0.018230489
17/08/2010,0.011150375,0.008085166,-0.016745771
18/08/2010,-0.000387068,0.011150375,0.00112352
19/08/2010,-0.016063505,-0.000387068,0.005232865
20/08/2010,-0.010424809,-0.016063505,0.006282824
23/08/2010,-0.001987497,-0.010424809,-0.001766733
24/08/2010,-0.013742495,-0.001987497,-0.008958461
25/08/2010,0.001009654,-0.013742495,-0.009491937
26/08/2010,-0.000403517,0.001009654,-0.008718267
27/08/2010,0.01957644,-0.000403517,-0.004906779
30/08/2010,-0.014449925,0.01957644,-0.004378786
31/08/2010,0.00301285,-0.014449925,0.006727526
01/09/2010,0.035642685,0.00301285,0.001574333
02/09/2010,0.00560712,0.035642685,0.002713122
03/09/2010,0.009228978,0.00560712,0.008068537
07/09/2010,-0.013907311,0.009228978,0.014754218
08/09/2010,0.007727677,-0.013907311,0.016826261
09/09/2010,0.009394131,0.007727677,0.000309596
10/09/2010,0.003039194,0.009394131,0.001016448
13/09/2010,0.018178442,0.003039194,0.001071499
14/09/2010,0.006695099,0.018178442,0.006720334
15/09/2010,0.00036962,0.006695099,0.010203922
16/09/2010,-0.004801752,0.00036962,0.009304245
17/09/2010,-0.004824535,-0.004801752,0.008414387
20/09/2010,0.017340993,-0.004824535,0.000754322
21/09/2010,-0.000183258,0.017340993,-0.003085556
22/09/2010,-0.001466336,-0.000183258,0.002571569
23/09/2010,-0.010831727,-0.001466336,0.004111067
24/09/2010,0.027839533,-0.010831727,0.005230466
27/09/2010,-0.005055914,0.027839533,-0.004160441
28/09/2010,0.005807455,-0.005055914,0.00518049
29/09/2010,-0.001623825,0.005807455,0.003983964
30/09/2010,-0.007410062,-0.001623825,0.009530358
01/10/2010,0.010014653,-0.007410062,-0.000290761
04/10/2010,-0.014422215,0.010014653,-0.001075477
05/10/2010,0.028351785,-0.014422215,0.000326922
06/10/2010,0.008360025,0.028351785,-0.003939208
07/10/2010,-0.003351542,0.008360025,0.007981408
08/10/2010,0.006548659,-0.003351542,0.007429865
11/10/2010,-0.001230976,0.006548659,0.011120089
12/10/2010,-0.002112376,-0.001230976,0.003852381
13/10/2010,0.011291409,-0.002112376,0.00065538
14/10/2010,0.006978369,0.011291409,0.001068436
15/10/2010,-0.003292003,0.006978369,0.002649352
18/10/2010,0.00225991,-0.003292003,0.005385801
19/10/2010,-0.022025861,0.00225991,0.004992591
20/10/2010,0.018797747,-0.022025861,0.001982092
21/10/2010,-0.005396042,0.018797747,-0.007685985
22/10/2010,0.002625121,-0.005396042,-0.000322735
25/10/2010,0.003840109,0.002625121,-0.002874719
26/10/2010,-0.006433651,0.003840109,0.005342276
27/10/2010,-0.009625475,-0.006433651,0.000356396
28/10/2010,0.007775403,-0.009625475,1.05264E-05
29/10/2010,-0.000350734,0.007775403,-0.004073006
01/11/2010,-0.003683768,-0.000350734,-0.002761241
02/11/2010,0.01654941,-0.003683768,-0.000733602
03/11/2010,0.006927699,0.01654941,0.001246967
04/11/2010,0.02270371,0.006927699,0.004171636
05/11/2010,-0.004372764,0.02270371,0.00659778
08/11/2010,-0.006081005,-0.004372764,0.015393606
09/11/2010,-0.010027177,-0.006081005,0.008419549
10/11/2010,0.002918396,-0.010027177,0.004083314
11/11/2010,-0.008558917,0.002918396,-0.006826982
12/11/2010,-0.008286833,-0.008558917,-0.004396595
15/11/2010,-0.00069655,-0.008286833,-0.005222566
16/11/2010,-0.023519162,-0.00069655,-0.004642451
17/11/2010,0.005530822,-0.023519162,-0.005847433
18/11/2010,0.025017589,0.005530822,-0.010834182
19/11/2010,0,0.025017589,-0.006228297
22/11/2010,-0.010732215,0,0.002343083
23/11/2010,-0.030096135,-0.010732215,0.010182804
24/11/2010,0.015875867,-0.030096135,0.004761791
26/11/2010,-0.016693326,0.015875867,-0.01360945
29/11/2010,-0.008849423,-0.016693326,-0.008317494
30/11/2010,-0.011297564,-0.008849423,-0.010304531
01/12/2010,0.028381941,-0.011297564,-0.003222294
02/12/2010,0.01899641,0.028381941,-0.012280104
03/12/2010,0.009672965,0.01899641,0.002744985
06/12/2010,-0.004528996,0.009672965,0.012026929
07/12/2010,0.00052486,-0.004528996,0.019017105
08/12/2010,0.00297328,0.00052486,0.008046793
09/12/2010,0.002615599,0.00297328,0.001889609
10/12/2010,0.002260728,0.002615599,-0.000343619
13/12/2010,0.010758286,0.002260728,0.002037913
14/12/2010,0.001545023,0.010758286,0.002616536
15/12/2010,-0.013198571,0.001545023,0.005211538
16/12/2010,0.005558562,-0.013198571,0.004854679
17/12/2010,-0.005527835,0.005558562,-0.000298421
20/12/2010,0.00225834,-0.005527835,-0.002031662
21/12/2010,0.008362085,0.00225834,-0.004389281
22/12/2010,0.001908508,0.008362085,0.000763022
23/12/2010,-0.000519543,0.001908508,0.00169753
27/12/2010,-0.002079163,-0.000519543,0.004176311
28/12/2010,0.000868041,-0.002079163,0.00325035
29/12/2010,0.008673241,0.000868041,-0.000230066
30/12/2010,-0.004815212,0.008673241,-0.000576888
31/12/2010,0.006047939,-0.004815212,0.002487373
03/01/2011,0.008244701,0.006047939,0.001575357
04/01/2011,-0.003066371,0.008244701,0.003301989
05/01/2011,-0.004272061,-0.003066371,0.003159143
06/01/2011,-0.011498377,-0.004272061,0.00374209
07/01/2011,-0.003992883,-0.011498377,0.00030209
10/01/2011,-0.001743042,-0.003992883,-0.006278936
11/01/2011,0.006809861,-0.001743042,-0.006587774
12/01/2011,0.022025498,0.006809861,-0.005744768
13/01/2011,0.002715006,0.022025498,0.000357978
14/01/2011,0.006092615,0.002715006,0.009030772
18/01/2011,0.006560147,0.006092615,0.010516788
19/01/2011,-0.006851714,0.006560147,0.010277706
20/01/2011,-0.008581521,-0.006851714,0.005122589
21/01/2011,0.005431021,-0.008581521,0.001933683
24/01/2011,0.010634601,0.005431021,-0.002957696
25/01/2011,-0.002004241,0.010634601,-0.003334071
26/01/2011,0.006359969,-0.002004241,0.0024947
27/01/2011,0.00232837,0.006359969,0.004687127
28/01/2011,-0.022233459,0.00232837,0.004996776
31/01/2011,0.008654333,-0.022233459,0.002228032
01/02/2011,0.023721493,0.008654333,-0.00451504
02/02/2011,-0.000821763,0.023721493,-0.003750252
03/02/2011,0.000164437,-0.000821763,0.003380789
04/02/2011,-0.00032882,0.000164437,0.010518021
07/02/2011,0.003125496,-0.00032882,0.007688056
08/02/2011,0.00655942,0.003125496,-0.000328716
09/02/2011,-0.002932236,0.00655942,0.000987038
10/02/2011,-0.006536174,-0.002932236,0.003118699
11/02/2011,0.00049348,-0.006536174,0.002250893
14/02/2011,0.001972526,0.00049348,-0.000969663
15/02/2011,-0.002952922,0.001972526,-0.002991643
16/02/2011,0.012012289,-0.002952922,-0.001356722
17/02/2011,0.003414712,0.012012289,-0.000162305
