Date,T,T2,T3
01/01/2020,-0.01,0.13,0.153333333
02/01/2020,0.53,-0.01,0.173333333
03/01/2020,-0.52,0.53,-0.133333333
06/01/2020,0.01,-0.52,0.216666667
07/01/2020,-0.28,0.01,0
08/01/2020,-0.15,-0.28,0.006666667
09/01/2020,0.3,-0.15,-0.263333333
10/01/2020,-0.04,0.3,-0.14
13/01/2020,0.05,-0.04,-0.043333333
14/01/2020,0.15,0.05,0.036666667
15/01/2020,0.24,0.15,0.103333333
16/01/2020,0.14,0.24,0.053333333
17/01/2020,0.42,0.14,0.146666667
20/01/2020,-0.03,0.42,0.176666667
21/01/2020,-0.39,-0.03,0.266666667
22/01/2020,0.04,-0.39,0.176666667
23/01/2020,-0.94,0.04,0
24/01/2020,0.35,-0.94,-0.126666667
27/01/2020,-2.21,0.35,-0.43
28/01/2020,0.83,-2.21,-0.183333333
29/01/2020,0.19,0.83,-0.933333333
30/01/2020,-0.71,0.19,-0.343333333
31/01/2020,-0.5,-0.71,-0.396666667
03/02/2020,-0.17,-0.5,0.103333333
04/02/2020,1.46,-0.17,-0.34
05/02/2020,0.76,1.46,-0.46
06/02/2020,0.18,0.76,0.263333333
07/02/2020,-0.76,0.18,0.683333333
10/02/2020,-0.12,-0.76,0.8
11/02/2020,0.92,-0.12,0.06
12/02/2020,0.29,0.92,-0.233333333
13/02/2020,-0.38,0.29,0.013333333
14/02/2020,-0.09,-0.38,0.363333333
17/02/2020,0.26,-0.09,0.276666667
18/02/2020,-0.76,0.26,-0.06
19/02/2020,0.84,-0.76,-0.07
20/02/2020,-0.74,0.84,-0.196666667
21/02/2020,-0.08,-0.74,0.113333333
24/02/2020,-3.88,-0.08,-0.22
25/02/2020,-1.61,-3.88,0.006666667
26/02/2020,0,-1.61,-1.566666667
27/02/2020,-2.57,0,-1.856666667
28/02/2020,-2.7,-2.57,-1.83
02/03/2020,1.33,-2.7,-1.393333333
03/03/2020,1.32,1.33,-1.756666667
04/03/2020,1.24,1.32,-1.313333333
05/03/2020,-1.06,1.24,-0.016666667
06/03/2020,-2.74,-1.06,1.296666667
09/03/2020,-6.4,-2.74,0.5
10/03/2020,-1.59,-6.4,-0.853333333
11/03/2020,-1.86,-1.59,-3.4
12/03/2020,-12,-1.86,-3.576666667
13/03/2020,1.59,-12,-3.283333333
16/03/2020,-5.6,1.59,-5.15
17/03/2020,0.72,-5.6,-4.09
18/03/2020,-5.06,0.72,-5.336666667
19/03/2020,0.96,-5.06,-1.096666667
20/03/2020,1.73,0.96,-3.313333333
23/03/2020,-2.83,1.73,-1.126666667
24/03/2020,8.54,-2.83,-0.79
25/03/2020,3.87,8.54,-0.046666667
26/03/2020,3.89,3.87,2.48
27/03/2020,-2.44,3.89,3.193333333
30/03/2020,0.36,-2.44,5.433333333
31/03/2020,1.3,0.36,1.773333333
01/04/2020,-3.32,1.3,0.603333333
02/04/2020,-0.15,-3.32,-0.26
03/04/2020,-1.43,-0.15,-0.553333333
06/04/2020,3.63,-1.43,-0.723333333
07/04/2020,2.71,3.63,-1.633333333
08/04/2020,-0.02,2.71,0.683333333
09/04/2020,2.22,-0.02,1.636666667
10/04/2020,0.08,2.22,2.106666667
13/04/2020,-0.2,0.08,1.636666667
14/04/2020,1.4,-0.2,0.76
15/04/2020,-3.88,1.4,0.7
16/04/2020,-0.22,-3.88,0.426666667
17/04/2020,2.95,-0.22,-0.893333333
20/04/2020,0.2,2.95,-0.9
21/04/2020,-2.9,0.2,-0.383333333
22/04/2020,1.29,-2.9,0.976666667
23/04/2020,0.42,1.29,0.083333333
24/04/2020,-0.33,0.42,-0.47
27/04/2020,1.89,-0.33,-0.396666667
28/04/2020,1.36,1.89,0.46
29/04/2020,2.44,1.36,0.66
30/04/2020,-1.19,2.44,0.973333333
01/05/2020,-0.52,-1.19,1.896666667
04/05/2020,-3,-0.52,0.87
05/05/2020,1.16,-3,0.243333333
06/05/2020,-0.67,1.16,-1.57
07/05/2020,1.49,-0.67,-0.786666667
08/05/2020,1.06,1.49,-0.836666667
11/05/2020,-0.56,1.06,0.66
