,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,T,T2,T3
2016-01-04,0.009584595817739185,0.005122659434904131,-0.0020624117007326357,0.009073701004468197,0.0005601007987408138,-0.00735882353942451,-0.003537358215268414,-0.0032835123486768644,-0.00584145280909089,-0.004114427774399445,-0.0032472333756134414,-0.01566027378937159,-0.021376202641051254,-0.018139667283151608,-0.017362326804849,-0.023315995821590926,-0.015968093623761708,-0.015205944615180855,-0.019767270163030783,-0.02260211515949452,-0.014808954861029474,-0.019817932609763337,-0.026555528493227638,-0.01752139765059533,-0.022418565155285806,-0.010671888999999999,-0.009873505999999999,0.008099488
2016-01-06,0.008605998535322748,0.007001215369862481,-0.0017477868544467589,-0.003585715530133996,-0.011499157322257224,-0.0005632546313103702,-0.009252615390175804,-0.006746404515228374,0.0013097573274104568,-0.006128014983847449,-0.006495102725982569,-0.006905445703968602,-0.008976506661895875,-0.00477610171183536,-0.008143142706854688,-0.01093459587956881,-0.010311520482945088,-0.012029010457834697,-0.00785381752761984,-0.02141907626556845,-0.01747434576247175,-0.015258279591110745,-0.00814760649016698,-0.02102358768544214,-0.017239660239045006,-0.000856434,-0.004773213,0.004078934
2016-01-07,-0.003771058289762764,-0.02208549085046336,-0.005897548360221274,-0.008033215372053808,-0.0097622044113896,-0.015747961265726477,-0.013068043727175824,-0.014012746294043258,-0.01631532810452703,-0.007459279216110022,-0.022857378646699004,-0.020659941488615018,-0.018938398810420844,-0.016532208589768282,-0.022280030952138,-0.021168886389868354,-0.018915524811529746,-0.017800668436000828,-0.020329545153949757,-0.01889372885264591,-0.016770439352363466,-0.02744969387218552,-0.027943359688396775,-0.02299401370529994,-0.03068325320631126,0.0,0.014909018999999999,0.008451907
2016-01-08,-0.008595565849698967,0.0016883072435838135,-0.0042160080734263,0.0048828535454184035,0.0011166899547101821,0.002366450708177973,0.014812696706558647,-0.002909427898108561,-0.008285974110680131,0.0006122918873222255,0.004702734193144774,0.0009929017953599479,0.0015364992236285128,-0.001620964361067873,-0.006754760649167759,-0.0022332425486233562,-0.010098657962857933,-0.0075531518158103135,0.0031445945862174913,-0.0054900297605774495,-0.0026379364452926036,-0.003827766528756899,-0.0050316245598541415,-0.010009624051826654,-0.007926558025850773,-0.006547301,0.011854898999999999,0.002279487
2016-01-11,-0.008741499436604403,0.0002835187665051227,-0.004019266154928213,0.0004800950758950414,-0.005957362933827627,0.0032190711044852794,-0.005401731438086063,-0.005160091668995578,-0.0008936951347258056,-0.0053113041706330825,-0.008335986079804238,-0.00665726985567534,-0.009350545671635761,-0.006180541209719894,-0.006411454343886515,-0.005072509790829515,-0.00857540981080204,-0.005100243274552754,-0.010931407952572768,-0.0008638003091389915,0.0013272206732204853,-0.0020218452596647185,-0.005182629645793725,-0.006348759581880071,-0.005237963457442254,-0.0043236690000000005,0.000519032,-0.002009118
2016-01-12,-0.005026456328679777,0.00289610812346272,0.0040339504340436245,-0.0032179260472700168,0.0071671067076145385,0.0002264103365173996,0.0023474463386526224,0.0004108055288663736,0.0006163638625285096,0.011436462926101638,0.005100113658070318,0.008104048748124006,0.008551722552793925,0.006642897495950786,0.0061137318882807865,0.002926813879817562,0.009470166133826495,0.011294399335987255,0.006153830532290107,-0.003308607306936535,0.0014743280396543705,0.004701344617013693,0.001809298886606577,0.0012056440168608724,0.0032836059362555026,-0.003873992,-0.001055456,0.001364276
2016-01-13,0.013091043686932608,-0.0017763093952796911,0.0070934878822344,-0.0035428577128541507,0.00517937122118597,0.006009041877170752,0.003489465609923891,-0.001797646313284464,0.0049215299585246616,0.0014721842432424057,0.001998625109054113,0.002345648096075633,0.0014002365868501054,0.0026584040307320415,-0.0005902884408682455,0.002166279959785287,0.0005950545264048553,0.0008930515835494609,-0.0016443389470513498,-0.003659482595937978,-0.003492734038819827,0.0018941379415364805,-0.0015218331027897726,-0.0018437776888001846,-0.008948737397855953,-0.015517833,0.00471351,-0.009548336999999999
2016-01-14,0.0006331840674184386,-0.005411036183176811,-0.01499534484417244,-0.0082000771058404,-0.011187159399500358,-0.012757150883477347,-0.010403289104319136,-0.017605253237000795,-0.014613519553888456,-0.012959439661105621,-0.014990511139383744,-0.02041256429728726,-0.01319710833893215,-0.014992990099361982,-0.017086521622307983,-0.013258185434333606,-0.015144496792763678,-0.01585966520811498,-0.01360020119119076,-0.009199487704000146,-0.020431347317714083,-0.012304616417161327,-0.011874547162822812,-0.014788599341763315,-0.020276480438137387,0.0128298,-0.015517833,-0.00104988
2016-01-15,0.014985752106986255,-0.00628946372037352,-0.002925301497073282,-0.011640627932727472,-0.012385270088416698,-0.010999613844841596,-0.01035392029506367,-0.008637301618478331,-0.020821231410653167,-0.017983913827893598,-0.01304811094332597,-0.016109775709004202,-0.01876233304504142,-0.017795168233779045,-0.023257869850713108,-0.02477017823487601,-0.024424502426657807,-0.02177398093119308,-0.026313214318405505,-0.0295477416349894,-0.026706187986125594,-0.031968304544792735,-0.03072709547274913,-0.03349187865424962,-0.03419652131667575,-0.036192585,0.0128298,-0.002205683
2016-01-19,-0.001962614797151065,-0.0019504772993370473,0.004360931901683827,0.008177489123233435,0.003911943867382768,0.010340077053675876,0.005487489922146152,0.008978868050069555,0.006069060574996477,0.003952177578813298,0.005460424345117812,0.009747830953362024,0.010170666259760215,0.012065352219957965,0.011090232240559465,0.014593349553735499,0.012992951804962754,0.013064682725061566,0.00798658399681585,0.020216611323628224,0.013118877998391027,0.021071739013383387,0.013565836799194085,0.024872852663484667,0.013592374361720836,0.009200228000000001,-0.036192585,0.0006751589999999999
2016-01-20,-0.01453264465329627,-0.01507476645422874,-0.007646446472091066,-0.014162808969991612,-0.01561556362792579,-0.01840000966210743,-0.02281479976080041,-0.017996075721864156,-0.02274088335810095,-0.0329136821641603,-0.024720058263042258,-0.029961430013902286,-0.018747744527406057,-0.027426056245215626,-0.02333023701371724,-0.029313587935497085,-0.03368583516018424,-0.033308311113887795,-0.03827662906395565,-0.03557606384957179,-0.03202010428811971,-0.04100484262350445,-0.035202433156903176,-0.0418114495701434,-0.031833817016149374,-0.022697705,0.009200228000000001,-0.012960206
2016-01-21,0.004506371371473599,-0.0006301618874055719,0.0037392143148297645,-0.007866779506559986,-0.0008033206292362644,0.009033339435093627,0.0049190693867142395,0.0011049804585024669,0.012293157230097674,0.0035334458388359357,0.0031078578547993462,0.0074664319513756605,0.013071111809941196,0.006365982391496338,0.014020915976118192,0.014376009790177417,0.014749155020475873,0.010695359023303595,0.01844259723967668,0.01131603524253819,0.015276853292874159,0.02145007220307864,0.011582298391506833,0.013603054238751135,0.02066570832119284,0.007424376,-0.022697705,-0.004720852
2016-01-22,0.002867043409988473,0.00875540323369562,0.010609389820823018,0.00548657657470791,0.010898649125048416,0.010996167983916108,0.014154201171321821,0.008715325579609995,0.010768580954315082,0.024388702276502007,0.02063014326626501,0.02030597334369518,0.02424804802788775,0.02013555001283908,0.023821735570860234,0.016599730633191485,0.025256310412562433,0.02876716267435167,0.030949509097238145,0.031682890828569045,0.031327744045148966,0.029959591296817883,0.02862798930983329,0.023890057520422767,0.028410864170165383,0.029478478,0.007424376,-0.016563354
2016-01-25,0.005031244670740123,0.0006749624914102627,0.0015127763974520502,-0.00440509412155228,-2.084531945435213e-05,0.0029661515099683178,0.007992837549095319,0.0013709760989029898,0.011968336302558096,0.0035465090458476622,0.011331126405608476,0.003369164310521923,0.0006709294955904386,0.010916099640492005,0.002969588931415016,0.0006240873635914358,-0.0028586395782809523,0.0051748562324621964,0.0007810832371991716,-0.001104250367002731,-0.005889810163192373,-0.005431770417367966,-0.002814390109414175,-0.004355922624178066,-0.008852764848824237,-0.013399447,0.029478478,-0.002024367
2016-01-26,-0.003840342275847518,0.006584050694757412,0.010745911183466647,0.0025500620895809213,-0.0017892050863659171,-0.0012665196162757605,-0.005013617392476933,0.002103079354522243,-0.0055533068677063166,0.0025434249754486666,-0.0017277328887461464,-0.0008841312323832029,0.0017871945138808307,-0.000878355927542651,0.00030862705504046406,0.002241956618958595,0.003908591996034953,-0.0005600081572280827,-0.00031577747327319185,0.004723220230881669,0.011772105652949975,0.003975114795276914,0.016478109476391584,0.0040184083814749786,0.011502358823467588,0.017860465,-0.013399447,0.00473505
2016-01-27,-0.0018606934978982977,-0.0010903461939030961,-0.007184863590892261,0.011420646467764814,0.00036202892935368805,-0.00036526505450877996,0.0008005186286407477,0.0015519266079037717,0.003858631433267087,0.006851373133755866,0.007545821948306962,-0.00014615723412732474,0.004158287454263599,0.0042377770826333115,0.006353157577705841,0.005046111337866117,0.0020962494424977773,0.009358215866341765,0.004181277329323102,0.00131818088624584,0.0010059030378463557,0.004098901421726465,-0.00687213494008964,0.005047346788345428,0.003621863674634353,-0.006397433,0.017860465,0.007834469
2016-01-28,0.0032249215068398357,0.0017263556857861084,-0.001557491576483679,0.005035504223673483,0.004876438385511334,0.004894260710807116,0.0028724164443123287,0.004554911305823626,0.0008619107742292765,-0.01833404618509059,-0.004005126682212892,-0.004443898926222832,0.00034492859102232466,-0.0041051343994747535,-0.0055443243131528845,-0.007479513158237812,-0.007782658013502809,-0.00860574144363616,0.0005174217804341178,-0.006917806640133829,-0.0032667728280928164,-0.006021211864257728,-0.004635260021960149,-0.004730867508963952,-0.007604694810258619,0.0029434220000000002,-0.006397433,0.011313165
2016-01-29,0.006738065443640755,-0.006367591507615373,0.005223918140815107,0.00938883657786303,0.0005110841039120853,0.0033167325463664132,0.0021288895539381767,0.0034950774268085443,0.0032839255277679535,0.01504712137775907,0.0027435680258533846,0.009251061172565422,0.006593379671763501,0.011278461538708703,0.011344538249082011,0.011475492469064177,0.0178137326257779,0.01807825785505914,0.012172216419694846,0.011813281659069755,0.013387382318652632,0.01765597912700277,0.01837050630385924,0.013473338309979458,0.008389382803211358,0.017608136,0.0029434220000000002,-0.000645472
2016-02-02,0.0014094932169328442,-0.0025760465560964556,-0.006688939107355826,-0.004690470399165991,-0.003432240353911848,-0.00981603883733363,-0.0035201585002424263,-0.0046883564524197695,-0.006104682099890295,-0.019657096109690204,-0.008956069052058096,-0.011744488733234701,-0.0018908391132267087,-0.009975612806934417,-0.013514946341106086,-0.020497493896487817,-0.0068959463653181265,-0.01596237829422983,-0.01994982431771771,-0.010685336832524392,-0.01761377122714111,-0.024199928677450196,-0.0174179596238943,-0.020118492269619655,-0.02748532141452678,-0.02327671,-0.001081362,0.004718042
