,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25
2016-01-04,0.006087298960225828,-0.002584409444427123,-0.0011239454559277392,-0.003287111227555799,-0.003062303998105151,0.0004914366803260233,-0.0017326537306212007,-0.008909127863938385,0.00018917990582093417,-0.007942932437318577,-0.01064631379846462,-0.013147864772680689,-0.013539960174333973,-0.016784967526684888,-0.018466718948187015,-0.012911328023868648,-0.011642678599886876,-0.01316251187119682,-0.02344875665544729,-0.019976015251487553,-0.020358721630984903,-0.021251329086695355,-0.025169246854064402,-0.015191474997573305,-0.022335787933450927
2016-01-06,0.023450128299047107,-0.011806290271332445,-9.609739750713705e-05,-0.00040683466115772044,-0.002587078249874505,-0.008359224985354909,-0.006316843167862304,-0.0035066898759207265,-0.00154496410591941,-0.004815285583965882,-0.002961619787784838,0.0035716306345274433,-0.00599070814024916,-0.01004823995547896,-0.006359819409428353,-0.011846097307161858,-0.013569132341565092,-0.01349827091687462,-0.015244622878491881,-0.020166597513978066,-0.02473550031790496,-0.029922441731462152,-0.017287503685521847,-0.006835790835639851,-0.009183899812377895
2016-01-07,-0.016480516834767357,-0.001509738581081505,-0.00803833848751848,-0.006992782721602775,-0.013503562975930885,-0.01192183093664807,-0.01049104796234026,-0.0168219589580959,-0.02251150135179391,-0.012126516046974026,-0.011188511812765384,-0.01957401598613206,-0.022189667289228106,-0.024180902750671265,-0.017157385766723217,-0.02066114853494548,-0.013749206166079591,-0.02232419416824995,-0.02374654602878258,-0.02245984798292468,-0.025207271325858576,-0.031186572703096296,-0.03528745575815663,-0.015070419934942465,-0.016868701233935884
2016-01-08,-0.01830085686468139,0.0005199976001224268,0.0035531869312731626,0.0071092749600585444,-0.002487368143886864,-0.00021374874165350121,0.004546842153275727,0.015396000882949255,0.0010301305974266563,0.0038289010688172184,0.002776697348127057,-0.007667182520873115,-0.0005678991244590802,0.0035980206046197427,0.0020615469922858525,-0.000833943427192248,-0.009095065997046509,-0.0052834459054135205,-0.0054414801795230165,-0.005740916774484821,-0.014857079670370222,-0.009027030643470317,-0.006290923492416335,-0.005520991121488266,-0.004020536521054313
2016-01-11,-0.004609053668852566,0.00039593329466326667,0.0036960839589045393,-0.007488386587218218,-0.006951430992606109,-0.001461302192942238,-0.0029117185222414673,0.0028279028375782635,-0.010520815198717427,0.0030711267798519005,-0.008149580638403224,-0.005056344742696276,-0.003547232741758083,-0.007991136682126313,-0.004261118882552934,-0.005800942594841167,-0.007091477587524342,-0.01168842326137824,-0.00810426637367116,-0.011703754692179833,-0.005174356006401584,-0.006365175672462518,-0.0024180096853711713,-0.0031768970488601795,-0.0032948397768181583
2016-01-12,0.002905487282235721,-0.0002637579750520251,-0.0038461198128672824,0.002391468196431072,0.0041468400780675565,0.004654377845860002,0.005161301586090961,-0.0036933908567279993,0.004830606070039207,-0.006488011009474111,0.0008994342371155218,0.004696745062119016,0.009901686370914087,0.006142327893486818,0.00661684574583444,0.007335729139647439,-0.001905429319960235,0.0067516672345304925,0.009023746894005737,0.005995961523454531,0.004705121155202994,0.004497271537541428,0.012215442614536255,-0.001396709832311977,0.0028072642763805897
2016-01-13,0.024306671173740697,-0.0003494356194995599,0.0034923073113488456,-0.006232503780515435,0.0006108200135291605,0.0024801599216780403,-0.0035892133216176613,-0.0013371948168991897,0.003704665841943435,-0.003044720695029023,0.0029357304927997508,0.008141559489663944,0.004479437466350003,0.0016834767181164176,0.0016435139388606328,-0.002289596690741569,0.0007707047015828072,0.0008648281502720775,-0.004940127456062391,0.0015972826499810293,-0.004951108348824396,0.0009584062608867619,-0.002543172337189749,-0.0027308372750061718,0.0007999742917170999
2016-01-14,-0.010822764688764981,-0.007944764770146695,-0.008162926304239945,-0.0062459760936191214,-0.008886338266348333,-0.010640607344987866,-0.011712399516537152,-0.010003542583648588,-0.011704164594224995,-0.007606917554730844,-0.015824655327007605,-0.021488085600253913,-0.01961779954928615,-0.020084842212836993,-0.016564103208760825,-0.019849963697344254,-0.01851110179920502,-0.01702774660586073,-0.01580676950137252,-0.01481921905996671,-0.009224304768580957,-0.010695426204421921,-0.007493265582998269,-0.01976969115272796,-0.01678266776171813
2016-01-15,0.0047180813854499695,0.0005048210456169228,-0.0030754061001799183,0.0009022573192549501,-0.011790747795043422,-0.008684826134863325,-0.011620104238571646,-0.016691543313663227,-0.026075526546940113,-0.02167402349389905,-0.008622586867784277,-0.02408745993684015,-0.02220830900647413,-0.026925178038197165,-0.00904175451163936,-0.021011273158746208,-0.01648850498807201,-0.021845854061098575,-0.029641786761346732,-0.028616671742229635,-0.039350705371117116,-0.03870583804810147,-0.042632740321211775,-0.018382415892814582,-0.016737123355246644
2016-01-19,0.001422647617900748,-0.0008335607634554854,0.002724239181659333,0.0075063239464353065,0.006952021772500508,0.00771187211526722,-0.0032731293796952744,0.007380749296190496,0.010718596192211166,0.0049288878482149035,0.0056306026248497155,0.007117099708026424,0.014629066831422705,0.01489243333907697,0.013745167835515135,0.013368733638287484,0.018454187126185805,0.015498130553514552,0.013186334984363456,0.01661504967858408,0.016334016098380085,0.018068324555137613,0.025026889010479798,0.005401328485131731,0.007819228953311521
